id	h212102	h212311	h212312	h212315	h212316	h212318	h212319	h212321	h212326	h212332	h212329	h212402	gender	age	h212313a
13	120	20	0	0	10	5	0	4	2	0	5	0	1	76	0
20	3850	100	20	0	20	3	10	30	40	17	20	30	1	56	0
32	2020	30	0	0	10	10	2	3	3	10	2	0	1	79	0
42	1200	15	0	0	35	10	5	3	2	0	17	20	2	78	0
61	2280	40	0	0	20	10	5	5	10	7	10	30	2	53	0
72	4800	45	0	35	25	15	5	15	5	9	15	140	1	74	0
73	3040	30	0	25	20	10	5	8	5	5	8	8	1	68	0
87	3600	40	20	0	11	60	10	5	3	2	6	100	1	58	0
106	4530	50	5	15	20	10	0	15	5	0	10	95	1	62	0
193	1080	30	0	0	5	10	1	3	3	0	3	5	1	73	0
197	4500	50	20	50	30	5	10	25	10	15	10	0	1	53	0
201	3600	50	20	0	25	5	5	15	10	20	20	90	1	62	0
227	4800	60	10	30	25	10	15	30	15	20	5	30	1	83	18
237	1200	30	10	0	20	15	10	7	20	0	5	0	1	73	0
240	2400	10	20	0	12	2	3	3	3	12	10	100	1	50	0
256	3360	25	10	0	20	10	5	10	20	17	5	100	1	65	0
278	7560	70	30	50	15	10	10	20	10	10	10	100	1	54	0
291	7200	40	0	0	70	0	20	20	40	15	20	50	1	29	0
298	0	15	0	0	10	5	0	1	0	0	0	0	1	81	0
337	4800	50	20	20	15	5	5	20	20	20	25	100	1	57	60
341	40	40	0	0	15	30	2	3	0	6	3	0	1	82	0
355	4800	80	20	30	15	0	2	20	20	15	13	160	1	55	0
393	3680	70	0	0	20	30	5	15	10	7	25	30	1	53	20
402	3072	55	2	25	14	13	10	6	3	8	2	100	1	74	0
419	4200	70	10	30	20	5	10	20	10	10	5	0	1	48	32
512	4800	60	15	30	20	5	10	15	30	20	10	80	1	63	0
515	540	40	0	0	20	5	7	10	5	0	5	60	2	59	0
535	0	10	0	0	12	0	1	1	1	6	0	5	1	78	0
